6363,0.000025
6368,0.000016
6373,0.000032
6378,0.000031
6383,0.000058
6388,0.000054
6393,0.000058
6398,0.000076
6403,0.0001
6408,0.0001
6413,0.00014
6418,0.00014
6423,0.00016
6428,0.00021
6433,0.00026
6438,0.00032
6443,0.00043
6448,0.00053
6453,0.0007
6458,0.00091
6463,0.0012
6468,0.0017
6473,0.0023
6478,0.0032
6483,0.0046
6488,0.0067
6493,0.0101
6498,0.0157
6503,0.025
6508,0.0416
6513,0.071
6518,0.123
6523,0.217
6528,0.355
6533,0.537
6538,0.709
6543,0.82
6548,0.869
6553,0.879
6558,0.874
6563,0.863
6568,0.85
6573,0.834
6578,0.81
6583,0.771
6588,0.698
6593,0.584
6598,0.434
6603,0.287
6608,0.178
6613,0.104
6618,0.0604
6623,0.0366
6628,0.0225
6633,0.0144
6638,0.0094
6643,0.0064
6648,0.0044
6653,0.003
6658,0.0023
6663,0.0016
6668,0.0012
6673,0.00091
6678,0.00071
6683,0.00053
6688,0.0004
6693,0.00033
6698,0.00026
6703,0.00021
6708,0.00019
6713,0.00015
6718,0.00011
6723,0.000097
6728,0.000085
6733,0.000081
6738,0.000054
6743,0.000043
6748,0.000038
6753,0.000028
6758,0.000024
6763,0.000027
