% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  HI 6562.8Å
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
    0.010000   7.7500E+02   3.5380E+00   2.9890E+00   2.3130E-01   1.0000E+00
    0.010000   8.0000E+02   3.4780E+00   2.9920E+00   2.1940E-01   1.0000E+00
    0.010000   8.2500E+02   3.4430E+00   2.9960E+00   2.0870E-01   1.0000E+00
    0.010000   8.5000E+02   3.4420E+00   3.0020E+00   1.9990E-01   1.0000E+00
    0.010000   8.7500E+02   3.3900E+00   3.0030E+00   1.9030E-01   1.0000E+00
    0.010000   9.0000E+02   3.3570E+00   3.0060E+00   1.8040E-01   1.0000E+00
    0.010000   9.2500E+02   3.2300E+00   3.0090E+00   1.7460E-01   1.0000E+00
    0.010000   9.5000E+02   3.1840E+00   3.0140E+00   1.6800E-01   1.0000E+00
    0.010000   9.7500E+02   3.0981E+00   3.0180E+00   1.5990E-01   1.0000E+00
    0.010000   1.0000E+03   3.0237E+00   3.0210E+00   1.5300E-01   1.0000E+00
     0.10000   1.0000E+02   1.3465E+00   3.1830E+00   3.0330E+00   1.0000E+00
     0.10000   1.2500E+02   1.1291E+00   3.1450E+00   2.3840E+00   1.0000E+00
     0.10000   1.5000E+02   1.3405E+00   3.0670E+00   1.6540E+00   1.0000E+00
     0.10000   1.7500E+02   1.4839E+00   3.0370E+00   1.3200E+00   1.0000E+00
     0.10000   2.0000E+02   2.0347E+00   3.0130E+00   1.0930E+00   1.0000E+00
     0.10000   2.2500E+02   2.4653E+00   2.9880E+00   9.1770E-01   1.0000E+00
     0.10000   2.5000E+02   2.8770E+00   2.9700E+00   8.1430E-01   1.0000E+00
     0.10000   2.7500E+02   3.3490E+00   2.9610E+00   7.6750E-01   1.0000E+00
     0.10000   3.0000E+02   4.1750E+00   2.9480E+00   6.6180E-01   1.0000E+00
     0.10000   3.2500E+02   4.6660E+00   2.9410E+00   5.9570E-01   1.0000E+00
     0.10000   3.5000E+02   5.0170E+00   2.9360E+00   5.6680E-01   1.0000E+00
     0.10000   3.7500E+02   5.2510E+00   2.9340E+00   5.2530E-01   1.0000E+00
     0.10000   4.0000E+02   5.2280E+00   2.9330E+00   4.8640E-01   1.0000E+00
     0.10000   4.2500E+02   5.2890E+00   2.9330E+00   4.4710E-01   1.0000E+00
     0.10000   4.5000E+02   5.1020E+00   2.9340E+00   4.2760E-01   1.0000E+00
     0.10000   4.7500E+02   4.9660E+00   2.9350E+00   4.0850E-01   1.0000E+00
     0.10000   5.0000E+02   4.8410E+00   2.9380E+00   3.8990E-01   1.0000E+00
     0.10000   5.2500E+02   4.6400E+00   2.9410E+00   3.7520E-01   1.0000E+00
     0.10000   5.5000E+02   4.4830E+00   2.9470E+00   3.5820E-01   1.0000E+00
     0.10000   5.7500E+02   4.3280E+00   2.9540E+00   3.4190E-01   1.0000E+00
     0.10000   6.0000E+02   4.1870E+00   2.9600E+00   3.2510E-01   1.0000E+00
     0.10000   6.2500E+02   4.1060E+00   2.9650E+00   3.0990E-01   1.0000E+00
     0.10000   6.5000E+02   4.0270E+00   2.9700E+00   2.9670E-01   1.0000E+00
     0.10000   6.7500E+02   4.0280E+00   2.9770E+00   2.8010E-01   1.0000E+00
     0.10000   7.0000E+02   3.9880E+00   2.9800E+00   2.6560E-01   1.0000E+00
     0.10000   7.2500E+02   3.9840E+00   2.9850E+00   2.5030E-01   1.0000E+00
     0.10000   7.5000E+02   4.0040E+00   2.9900E+00   2.3630E-01   1.0000E+00
     0.10000   7.7500E+02   3.9950E+00   2.9940E+00   2.2530E-01   1.0000E+00
     0.10000   8.0000E+02   3.9950E+00   2.9980E+00   2.1510E-01   1.0000E+00
     0.10000   8.2500E+02   3.9920E+00   3.0030E+00   2.0540E-01   1.0000E+00
     0.10000   8.5000E+02   3.9590E+00   3.0070E+00   1.9510E-01   1.0000E+00
     0.10000   8.7500E+02   3.9390E+00   3.0090E+00   1.8730E-01   1.0000E+00
     0.10000   9.0000E+02   3.9280E+00   3.0130E+00   1.7830E-01   1.0000E+00
     0.10000   9.2500E+02   3.8460E+00   3.0150E+00   1.7330E-01   1.0000E+00
     0.10000   9.5000E+02   3.8020E+00   3.0190E+00   1.6600E-01   1.0000E+00
     0.10000   9.7500E+02   3.7640E+00   3.0230E+00   1.5880E-01   1.0000E+00
