% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  NII6583.3Å, + HI6562.8Å,
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
  0.00010000   1.0000E+02   1.6913E+00   5.0030E+00   4.0730E+00   1.0000E+00
  0.00010000   1.2500E+02   1.5503E+00   4.8670E+00   3.8500E+00   1.0000E+00
  0.00010000   1.5000E+02   8.8970E-01   4.1110E+00   2.3920E+00   1.0000E+00
  0.00010000   1.7500E+02   8.7170E-01   3.7624E+00   1.5460E+00   1.0000E+00
  0.00010000   2.0000E+02   1.2783E+00   3.8366E+00   1.2400E+00   1.0000E+00
  0.00010000   2.2500E+02   1.8441E+00   3.9648E+00   1.0010E+00   1.0000E+00
  0.00010000   2.5000E+02   2.3920E+00   4.1400E+00   8.7730E-01   1.0000E+00
  0.00010000   2.7500E+02   2.9310E+00   4.2870E+00   8.3000E-01   1.0000E+00
  0.00010000   3.0000E+02   3.8920E+00   4.6630E+00   7.1560E-01   1.0000E+00
  0.00010000   3.2500E+02   4.6490E+00   4.9960E+00   6.3830E-01   1.0000E+00
  0.00010000   3.5000E+02   5.4560E+00   5.3820E+00   6.0510E-01   1.0000E+00
  0.00010000   3.7500E+02   6.1490E+00   5.7020E+00   5.5530E-01   1.0000E+00
  0.00010000   4.0000E+02   6.4340E+00   5.8870E+00   5.1040E-01   1.0000E+00
  0.00010000   4.2500E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  0.00010000   4.5000E+02   6.7640E+00   6.0720E+00   4.4420E-01   1.0000E+00
  0.00010000   4.7500E+02   6.8340E+00   6.0960E+00   4.2830E-01   1.0000E+00
  0.00010000   5.0000E+02   7.1810E+00   6.1810E+00   4.0710E-01   1.0000E+00
  0.00010000   5.2500E+02   7.1350E+00   6.1480E+00   3.9610E-01   1.0000E+00
  0.00010000   5.5000E+02   7.1010E+00   6.1280E+00   3.8520E-01   1.0000E+00
  0.00010000   5.7500E+02   7.0340E+00   6.0870E+00   3.7530E-01   1.0000E+00
  0.00010000   6.0000E+02   6.7210E+00   5.9840E+00   3.5040E-01   1.0000E+00
  0.00010000   6.2500E+02   6.6880E+00   5.9560E+00   3.4270E-01   1.0000E+00
  0.00010000   6.5000E+02   6.4880E+00   5.8610E+00   3.3520E-01   1.0000E+00
  0.00010000   6.7500E+02   6.4950E+00   5.8580E+00   3.2320E-01   1.0000E+00
  0.00010000   7.0000E+02   6.5090E+00   5.8490E+00   3.1450E-01   1.0000E+00
  0.00010000   7.2500E+02   6.5010E+00   5.8390E+00   3.0430E-01   1.0000E+00
  0.00010000   7.5000E+02   6.5800E+00   5.8170E+00   2.9280E-01   1.0000E+00
  0.00010000   7.7500E+02   6.5990E+00   5.7880E+00   2.8440E-01   1.0000E+00
  0.00010000   8.0000E+02   6.6100E+00   5.7540E+00   2.7570E-01   1.0000E+00
  0.00010000   8.2500E+02   6.6450E+00   5.7220E+00   2.6760E-01   1.0000E+00
  0.00010000   8.5000E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  0.00010000   8.7500E+02   6.8600E+00   5.7330E+00   2.5110E-01   1.0000E+00
  0.00010000   9.0000E+02   6.9800E+00   5.7250E+00   2.4270E-01   1.0000E+00
  0.00010000   9.2500E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  0.00010000   9.5000E+02   6.9140E+00   5.6740E+00   2.3380E-01   1.0000E+00
  0.00010000   9.7500E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  0.00010000   1.0000E+03   7.0020E+00   5.6240E+00   2.2350E-01   1.0000E+00
     0.50000   1.0000E+02   1.5142E+00   4.8540E+00   3.5940E+00   1.0000E+00
     0.50000   1.2500E+02   1.1707E+00   4.4640E+00   2.7020E+00   1.0000E+00
     0.50000   1.5000E+02   1.0439E+00   4.0246E+00   1.7600E+00   1.0000E+00
     0.50000   1.7500E+02   1.2801E+00   3.9754E+00   1.3440E+00   1.0000E+00
     0.50000   2.0000E+02   1.8611E+00   4.2680E+00   1.1120E+00   1.0000E+00
     0.50000   2.2500E+02   2.3650E+00   4.6550E+00   9.2350E-01   1.0000E+00
     0.50000   2.5000E+02   2.8490E+00   5.0280E+00   8.1840E-01   1.0000E+00
     0.50000   2.7500E+02   3.4940E+00   5.3910E+00   7.7160E-01   1.0000E+00
     0.50000   3.0000E+02   4.2880E+00   6.0170E+00   6.8260E-01   1.0000E+00
     0.50000   3.2500E+02   4.9100E+00   6.4960E+00   6.4330E-01   1.0000E+00
     0.50000   3.5000E+02   5.3890E+00   6.9970E+00   6.4250E-01   1.0000E+00
     0.50000   3.7500E+02   5.7350E+00   7.4290E+00   6.2700E-01   1.0000E+00
     0.50000   4.0000E+02   5.7930E+00   7.6770E+00   6.0810E-01   1.0000E+00
     0.50000   4.2500E+02   5.8060E+00   7.8290E+00   5.8460E-01   1.0000E+00
     0.50000   4.5000E+02   5.7320E+00   7.9200E+00   5.7250E-01   1.0000E+00
     0.50000   4.7500E+02   5.6920E+00   7.9690E+00   5.5630E-01   1.0000E+00
     0.50000   5.0000E+02   5.7160E+00   8.0730E+00   5.4300E-01   1.0000E+00
     0.50000   5.2500E+02   5.5990E+00   8.0590E+00   5.3200E-01   1.0000E+00
     0.50000   5.5000E+02   5.5130E+00   8.0270E+00   5.1800E-01   1.0000E+00
     0.50000   5.7500E+02   5.4050E+00   7.9520E+00   5.0190E-01   1.0000E+00
     0.50000   6.0000E+02   5.3530E+00   7.9280E+00   4.9130E-01   1.0000E+00
     0.50000   6.2500E+02   5.3160E+00   7.8700E+00   4.8100E-01   1.0000E+00
     0.50000   6.5000E+02   5.3260E+00   7.8160E+00   4.6140E-01   1.0000E+00
     0.50000   6.7500E+02   5.3610E+00   7.7990E+00   4.5060E-01   1.0000E+00
     0.50000   7.0000E+02   5.3750E+00   7.8130E+00   4.4100E-01   1.0000E+00
     0.50000   7.2500E+02   5.4200E+00   7.7790E+00   4.2880E-01   1.0000E+00
     0.50000   7.5000E+02   5.4830E+00   7.7690E+00   4.1700E-01   1.0000E+00
     0.50000   7.7500E+02   5.5220E+00   7.7550E+00   4.0880E-01   1.0000E+00
     0.50000   8.0000E+02   5.5560E+00   7.7500E+00   4.0120E-01   1.0000E+00
     0.50000   8.2500E+02   5.6030E+00   7.7460E+00   3.9460E-01   1.0000E+00
     0.50000   8.5000E+02   5.6380E+00   7.7740E+00   3.9160E-01   1.0000E+00
     0.50000   8.7500E+02   5.6760E+00   7.8220E+00   3.9010E-01   1.0000E+00
     0.50000   9.0000E+02   5.7210E+00   7.8370E+00   3.8670E-01   1.0000E+00
     0.50000   9.2500E+02   5.6910E+00   7.7880E+00   3.8220E-01   1.0000E+00
     0.50000   9.5000E+02   5.7080E+00   7.7760E+00   3.7790E-01   1.0000E+00
     0.50000   9.7500E+02   5.7420E+00   7.7570E+00   3.7170E-01   1.0000E+00
     0.50000   1.0000E+03   5.7660E+00   7.7400E+00   3.6700E-01   1.0000E+00
      1.0000   1.0000E+02   1.4520E+00   4.8060E+00   3.3900E+00   1.0000E+00
      1.0000   1.2500E+02   1.2023E+00   4.4560E+00   2.5630E+00   1.0000E+00
      1.0000   1.5000E+02   1.3131E+00   4.2110E+00   1.7430E+00   1.0000E+00
      1.0000   1.7500E+02   1.4867E+00   4.1780E+00   1.3640E+00   1.0000E+00
      1.0000   2.0000E+02   2.0125E+00   4.5520E+00   1.1200E+00   1.0000E+00
      1.0000   2.2500E+02   2.3700E+00   5.0130E+00   9.3330E-01   1.0000E+00
      1.0000   2.5000E+02   2.7650E+00   5.4420E+00   8.3690E-01   1.0000E+00
      1.0000   2.7500E+02   3.3670E+00   5.8810E+00   8.0240E-01   1.0000E+00
      1.0000   3.0000E+02   3.9770E+00   6.5260E+00   7.4280E-01   1.0000E+00
      1.0000   3.2500E+02   4.4420E+00   7.0070E+00   7.4010E-01   1.0000E+00
      1.0000   3.5000E+02   4.7790E+00   7.4890E+00   7.9860E-01   1.0000E+00
      1.0000   3.7500E+02   4.9720E+00   7.8810E+00   8.3910E-01   1.0000E+00
      1.0000   4.0000E+02   4.9350E+00   8.0740E+00   8.5800E-01   1.0000E+00
      1.0000   4.2500E+02   4.8770E+00   8.1970E+00   8.6570E-01   1.0000E+00
      1.0000   4.5000E+02   4.7470E+00   8.2480E+00   8.6360E-01   1.0000E+00
      1.0000   4.7500E+02   4.6660E+00   8.2480E+00   8.5020E-01   1.0000E+00
      1.0000   5.0000E+02   4.6450E+00   8.3150E+00   8.4920E-01   1.0000E+00
      1.0000   5.2500E+02   4.5450E+00   8.2820E+00   8.4140E-01   1.0000E+00
      1.0000   5.5000E+02   4.5120E+00   8.2000E+00   8.2670E-01   1.0000E+00
      1.0000   5.7500E+02   4.5120E+00   8.1300E+00   8.1050E-01   1.0000E+00
      1.0000   6.0000E+02   4.5030E+00   8.0840E+00   8.0690E-01   1.0000E+00
      1.0000   6.2500E+02   4.5340E+00   8.0080E+00   7.8840E-01   1.0000E+00
      1.0000   6.5000E+02   4.5750E+00   7.9810E+00   7.6290E-01   1.0000E+00
      1.0000   6.7500E+02   4.6200E+00   7.9320E+00   7.6260E-01   1.0000E+00
      1.0000   7.0000E+02   4.6390E+00   7.9550E+00   7.4950E-01   1.0000E+00
      1.0000   7.2500E+02   4.7180E+00   7.9410E+00   7.4370E-01   1.0000E+00
      1.0000   7.5000E+02   4.8190E+00   7.9600E+00   7.3930E-01   1.0000E+00
      1.0000   7.7500E+02   4.8790E+00   7.9540E+00   7.3480E-01   1.0000E+00
      1.0000   8.0000E+02   4.9360E+00   7.9540E+00   7.3080E-01   1.0000E+00
      1.0000   8.2500E+02   5.0080E+00   7.9610E+00   7.3000E-01   1.0000E+00
      1.0000   8.5000E+02   5.0740E+00   8.0010E+00   7.4260E-01   1.0000E+00
