% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  NII6583.3Å, + HI6562.8Å,
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
   0.0010000   1.0000E+02   1.7769E+00   5.2000E+00   4.6120E+00   1.0000E+00
   0.0010000   1.2500E+02   1.8060E+00   5.2610E+00   4.9310E+00   1.0000E+00
   0.0010000   1.5000E+02   1.3968E+00   4.8900E+00   4.8320E+00   1.0000E+00
   0.0010000   1.7500E+02   9.9560E-01   4.2720E+00   3.4790E+00   1.0000E+00
   0.0010000   2.0000E+02   9.0460E-01   4.1468E+00   2.4410E+00   1.0000E+00
   0.0010000   2.2500E+02   8.6030E-01   3.8263E+00   1.4620E+00   1.0000E+00
   0.0010000   2.5000E+02   1.1260E+00   3.7956E+00   1.1390E+00   1.0000E+00
   0.0010000   2.7500E+02   1.4346E+00   3.8373E+00   1.0360E+00   1.0000E+00
   0.0010000   3.0000E+02   2.2193E+00   4.0560E+00   8.3030E-01   1.0000E+00
   0.0010000   3.2500E+02   2.9660E+00   4.3270E+00   7.2360E-01   1.0000E+00
   0.0010000   3.5000E+02   3.7520E+00   4.6480E+00   6.6140E-01   1.0000E+00
   0.0010000   3.7500E+02   4.3830E+00   4.9100E+00   5.9120E-01   1.0000E+00
   0.0010000   4.0000E+02   4.7470E+00   5.0740E+00   5.3330E-01   1.0000E+00
   0.0010000   4.2500E+02   5.0710E+00   5.1920E+00   4.7380E-01   1.0000E+00
   0.0010000   4.5000E+02   5.1470E+00   5.2060E+00   4.5210E-01   1.0000E+00
   0.0010000   4.7500E+02   5.1360E+00   5.1980E+00   4.3510E-01   1.0000E+00
   0.0010000   5.0000E+02   5.4690E+00   5.2500E+00   4.1590E-01   1.0000E+00
   0.0010000   5.2500E+02   5.5990E+00   5.2520E+00   4.0570E-01   1.0000E+00
   0.0010000   5.5000E+02   5.6140E+00   5.2240E+00   3.9170E-01   1.0000E+00
   0.0010000   5.7500E+02   5.6010E+00   5.1810E+00   3.8110E-01   1.0000E+00
   0.0010000   6.0000E+02   5.6270E+00   5.1720E+00   3.7020E-01   1.0000E+00
   0.0010000   6.2500E+02   5.6170E+00   5.1400E+00   3.6070E-01   1.0000E+00
   0.0010000   6.5000E+02   5.4720E+00   5.0690E+00   3.5500E-01   1.0000E+00
   0.0010000   6.7500E+02   5.5440E+00   5.0740E+00   3.4210E-01   1.0000E+00
   0.0010000   7.0000E+02   5.5770E+00   5.0780E+00   3.3350E-01   1.0000E+00
   0.0010000   7.2500E+02   5.6170E+00   5.0730E+00   3.2330E-01   1.0000E+00
