% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  HI 6562.8Å
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
--------------------------------------------------------------------------------
   0.0010000   1.0000E+02   8.5930E-01   3.0950E+00   2.5340E+00   1.0000E+00
   0.0010000   1.2500E+02   9.2690E-01   3.0410E+00   2.1680E+00   1.0000E+00
   0.0010000   1.5000E+02   9.8080E-01   2.9850E+00   1.6230E+00   1.0000E+00
   0.0010000   1.7500E+02   9.6820E-01   2.9630E+00   1.3330E+00   1.0000E+00
   0.0010000   2.0000E+02   1.1360E+00   2.9480E+00   1.0870E+00   1.0000E+00
   0.0010000   2.2500E+02   1.1874E+00   2.9320E+00   9.0950E-01   1.0000E+00
   0.0010000   2.5000E+02   1.2830E+00   2.9230E+00   8.0380E-01   1.0000E+00
   0.0010000   2.7500E+02   1.4513E+00   2.9210E+00   7.4900E-01   1.0000E+00
   0.0010000   3.0000E+02   1.6191E+00   2.9200E+00   6.5260E-01   1.0000E+00
   0.0010000   3.2500E+02   1.6931E+00   2.9230E+00   5.8560E-01   1.0000E+00
   0.0010000   3.5000E+02   1.6437E+00   2.9290E+00   5.5590E-01   1.0000E+00
   0.0010000   3.7500E+02   1.6140E+00   2.9350E+00   5.1200E-01   1.0000E+00
   0.0010000   4.0000E+02   1.4756E+00   2.9390E+00   4.7090E-01   1.0000E+00
   0.0010000   4.2500E+02   1.3831E+00   2.9440E+00   4.2900E-01   1.0000E+00
   0.0010000   4.5000E+02   1.2388E+00   2.9430E+00   3.9630E-01   1.0000E+00
   0.0010000   4.7500E+02   1.1568E+00   2.9440E+00   3.7050E-01   1.0000E+00
   0.0010000   5.0000E+02   1.0795E+00   2.9510E+00   3.4900E-01   1.0000E+00
   0.0010000   5.2500E+02   1.0061E+00   2.9520E+00   3.2580E-01   1.0000E+00
   0.0010000   5.5000E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0010000   5.7500E+02   8.8570E-01   2.9790E+00   2.6780E-01   1.0000E+00
   0.0010000   6.0000E+02   8.6570E-01   2.9910E+00   2.4750E-01   1.0000E+00
   0.0010000   6.2500E+02   8.5590E-01   2.9980E+00   2.2930E-01   1.0000E+00
   0.0010000   6.5000E+02   8.4470E-01   3.0030E+00   2.1450E-01   1.0000E+00
   0.0010000   6.7500E+02   8.2720E-01   3.0050E+00   1.9550E-01   1.0000E+00
   0.0010000   7.0000E+02   8.1570E-01   3.0120E+00   1.8340E-01   1.0000E+00
   0.0010000   7.2500E+02   8.0520E-01   3.0120E+00   1.6940E-01   1.0000E+00
   0.0010000   7.5000E+02   8.0430E-01   3.0140E+00   1.5810E-01   1.0000E+00
   0.0010000   7.7500E+02   7.9150E-01   3.0170E+00   1.4850E-01   1.0000E+00
   0.0010000   8.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0010000   8.2500E+02   7.7360E-01   3.0210E+00   1.3240E-01   1.0000E+00
   0.0010000   8.5000E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0010000   8.7500E+02   7.4480E-01   3.0210E+00   1.1850E-01   1.0000E+00
   0.0010000   9.0000E+02   7.3600E-01   3.0230E+00   1.1160E-01   1.0000E+00
   0.0010000   9.2500E+02   7.3070E-01   3.0200E+00   1.0870E-01   1.0000E+00
   0.0010000   9.5000E+02   7.4800E-01   3.0070E+00   1.0660E-01   1.0000E+00
   0.0010000   9.7500E+02   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   0.0010000   1.0000E+03   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
    0.010000   1.0000E+02   8.5910E-01   3.0950E+00   2.5340E+00   1.0000E+00
    0.010000   1.2500E+02   9.2740E-01   3.0410E+00   2.1680E+00   1.0000E+00
    0.010000   1.5000E+02   9.8100E-01   2.9850E+00   1.6240E+00   1.0000E+00
    0.010000   1.7500E+02   9.6840E-01   2.9630E+00   1.3330E+00   1.0000E+00
    0.010000   2.0000E+02   1.1357E+00   2.9480E+00   1.0880E+00   1.0000E+00
    0.010000   2.2500E+02   1.1874E+00   2.9320E+00   9.0950E-01   1.0000E+00
    0.010000   2.5000E+02   1.2831E+00   2.9230E+00   8.0460E-01   1.0000E+00
    0.010000   2.7500E+02   1.4514E+00   2.9210E+00   7.4870E-01   1.0000E+00
    0.010000   3.0000E+02   1.6192E+00   2.9210E+00   6.5200E-01   1.0000E+00
    0.010000   3.2500E+02   1.6961E+00   2.9240E+00   5.8510E-01   1.0000E+00
    0.010000   3.5000E+02   1.6469E+00   2.9300E+00   5.5420E-01   1.0000E+00
    0.010000   3.7500E+02   1.6111E+00   2.9370E+00   5.0990E-01   1.0000E+00
    0.010000   4.0000E+02   1.4790E+00   2.9420E+00   4.6860E-01   1.0000E+00
    0.010000   4.2500E+02   1.3563E+00   2.9440E+00   4.1730E-01   1.0000E+00
    0.010000   4.5000E+02   1.2433E+00   2.9490E+00   3.9350E-01   1.0000E+00
    0.010000   4.7500E+02   1.1500E+00   2.9520E+00   3.6350E-01   1.0000E+00
    0.010000   5.0000E+02   1.0567E+00   2.9580E+00   3.3620E-01   1.0000E+00
    0.010000   5.2500E+02   9.8870E-01   2.9660E+00   3.1160E-01   1.0000E+00
    0.010000   5.5000E+02   9.4660E-01   2.9770E+00   2.8420E-01   1.0000E+00
    0.010000   5.7500E+02   8.9100E-01   2.9830E+00   2.5500E-01   1.0000E+00
    0.010000   6.0000E+02   9.1060E-01   2.9930E+00   2.4230E-01   1.0000E+00
    0.010000   6.2500E+02   8.9620E-01   3.0000E+00   2.2570E-01   1.0000E+00
    0.010000   6.5000E+02   8.9200E-01   3.0040E+00   2.1080E-01   1.0000E+00
    0.010000   6.7500E+02   8.8470E-01   3.0100E+00   1.9250E-01   1.0000E+00
    0.010000   7.0000E+02   8.8640E-01   3.0150E+00   1.8080E-01   1.0000E+00
    0.010000   7.2500E+02   8.6380E-01   3.0140E+00   1.6560E-01   1.0000E+00
    0.010000   7.5000E+02   8.6890E-01   3.0160E+00   1.5480E-01   1.0000E+00
    0.010000   7.7500E+02   8.6050E-01   3.0180E+00   1.4550E-01   1.0000E+00
    0.010000   8.0000E+02   8.5240E-01   3.0200E+00   1.3760E-01   1.0000E+00
    0.010000   8.2500E+02   8.4340E-01   3.0210E+00   1.3000E-01   1.0000E+00
    0.010000   8.5000E+02   8.2890E-01   3.0230E+00   1.2230E-01   1.0000E+00
    0.010000   8.7500E+02   8.1390E-01   3.0220E+00   1.1660E-01   1.0000E+00
    0.010000   9.0000E+02   8.0880E-01   3.0240E+00   1.1030E-01   1.0000E+00
    0.010000   9.2500E+02   8.0490E-01   3.0160E+00   1.0810E-01   1.0000E+00
    0.010000   9.5000E+02   8.1840E-01   3.0050E+00   1.0590E-01   1.0000E+00
    0.010000   9.7500E+02   8.3980E-01   2.9960E+00   1.0390E-01   1.0000E+00
    0.010000   1.0000E+03   8.5880E-01   2.9890E+00   1.0230E-01   1.0000E+00
     0.10000   1.0000E+02   8.5950E-01   3.0950E+00   2.5340E+00   1.0000E+00
     0.10000   1.2500E+02   9.2830E-01   3.0410E+00   2.1680E+00   1.0000E+00
     0.10000   1.5000E+02   9.8170E-01   2.9850E+00   1.6240E+00   1.0000E+00
     0.10000   1.7500E+02   9.6870E-01   2.9630E+00   1.3330E+00   1.0000E+00
     0.10000   2.0000E+02   1.1375E+00   2.9480E+00   1.0880E+00   1.0000E+00
     0.10000   2.2500E+02   1.1900E+00   2.9320E+00   9.0970E-01   1.0000E+00
     0.10000   2.5000E+02   1.2878E+00   2.9230E+00   8.0310E-01   1.0000E+00
     0.10000   2.7500E+02   1.4640E+00   2.9220E+00   7.4550E-01   1.0000E+00
     0.10000   3.0000E+02   1.6969E+00   2.9230E+00   6.4600E-01   1.0000E+00
     0.10000   3.2500E+02   1.7476E+00   2.9260E+00   5.7990E-01   1.0000E+00
     0.10000   3.5000E+02   1.7462E+00   2.9310E+00   5.5080E-01   1.0000E+00
     0.10000   3.7500E+02   1.6937E+00   2.9390E+00   5.0620E-01   1.0000E+00
     0.10000   4.0000E+02   1.5601E+00   2.9450E+00   4.6370E-01   1.0000E+00
     0.10000   4.2500E+02   1.4422E+00   2.9500E+00   4.1500E-01   1.0000E+00
     0.10000   4.5000E+02   1.2983E+00   2.9510E+00   3.8330E-01   1.0000E+00
     0.10000   4.7500E+02   1.2412E+00   2.9590E+00   3.6120E-01   1.0000E+00
     0.10000   5.0000E+02   1.1713E+00   2.9670E+00   3.3340E-01   1.0000E+00
     0.10000   5.2500E+02   1.1156E+00   2.9740E+00   3.1180E-01   1.0000E+00
     0.10000   5.5000E+02   1.1165E+00   2.9820E+00   2.8790E-01   1.0000E+00
     0.10000   5.7500E+02   1.0878E+00   2.9890E+00   2.6260E-01   1.0000E+00
     0.10000   6.0000E+02   1.0700E+00   2.9930E+00   2.4170E-01   1.0000E+00
     0.10000   6.2500E+02   1.0775E+00   2.9980E+00   2.2310E-01   1.0000E+00
     0.10000   6.5000E+02   1.0809E+00   3.0020E+00   2.0850E-01   1.0000E+00
     0.10000   6.7500E+02   1.0832E+00   3.0080E+00   1.9070E-01   1.0000E+00
     0.10000   7.0000E+02   1.0632E+00   3.0120E+00   1.7840E-01   1.0000E+00
     0.10000   7.2500E+02   1.0668E+00   3.0150E+00   1.6580E-01   1.0000E+00
     0.10000   7.5000E+02   1.0774E+00   3.0150E+00   1.5520E-01   1.0000E+00
     0.10000   7.7500E+02   1.0695E+00   3.0180E+00   1.4660E-01   1.0000E+00
     0.10000   8.0000E+02   1.0543E+00   3.0190E+00   1.3820E-01   1.0000E+00
     0.10000   8.2500E+02   1.0500E+00   3.0200E+00   1.3070E-01   1.0000E+00
     0.10000   8.5000E+02   1.0321E+00   3.0220E+00   1.2310E-01   1.0000E+00
     0.10000   8.7500E+02   1.0176E+00   3.0230E+00   1.1830E-01   1.0000E+00
     0.10000   9.0000E+02   1.0068E+00   3.0250E+00   1.1180E-01   1.0000E+00
     0.10000   9.2500E+02   9.9910E-01   3.0190E+00   1.0890E-01   1.0000E+00
     0.10000   9.5000E+02   9.9920E-01   3.0150E+00   1.0480E-01   1.0000E+00
     0.10000   9.7500E+02   1.0249E+00   3.0050E+00   1.0250E-01   1.0000E+00
     0.10000   1.0000E+03   1.0573E+00   2.9970E+00   1.0110E-01   1.0000E+00
      1.0000   1.0000E+02   8.8670E-01   3.0940E+00   2.5420E+00   1.0000E+00
      1.0000   1.2500E+02   9.8080E-01   3.0400E+00   2.1690E+00   1.0000E+00
      1.0000   1.5000E+02   1.0430E+00   2.9840E+00   1.6340E+00   1.0000E+00
      1.0000   1.7500E+02   1.0433E+00   2.9620E+00   1.3350E+00   1.0000E+00
      1.0000   2.0000E+02   1.2370E+00   2.9470E+00   1.0870E+00   1.0000E+00
      1.0000   2.2500E+02   1.3224E+00   2.9310E+00   9.0660E-01   1.0000E+00
      1.0000   2.5000E+02   1.4815E+00   2.9240E+00   7.9840E-01   1.0000E+00
      1.0000   2.7500E+02   1.7545E+00   2.9230E+00   7.4110E-01   1.0000E+00
