% itera v0.1 Model Grids
%
% FORMAT: parameter 2, parameter 1 (as labelled), X1, X2, Y1, Y2
%         with emission lines given as ratios with respect to H-beta 4861
%
X1 =  SII6716.3Å,6730.7Å
X2 =  NII6583.3Å, + HI6562.8Å,
Y1 =  OIII 5006.8Å
Y2 =  HI 4861.3Å
           B     VELOCITY           X1           X2           Y1           Y2
    0.050000   4.5000E+02   1.8570E+00   4.4280E+00   8.3250E-01   1.0000E+00
    0.050000   4.7500E+02   2.4040E+00   4.7310E+00   7.8310E-01   1.0000E+00
    0.050000   5.0000E+02   3.2560E+00   5.3300E+00   6.8760E-01   1.0000E+00
    0.050000   5.2500E+02   3.8780E+00   5.7870E+00   6.4090E-01   1.0000E+00
    0.050000   5.5000E+02   4.4420E+00   6.2800E+00   6.3360E-01   1.0000E+00
    0.050000   5.7500E+02   4.8680E+00   6.7010E+00   6.1290E-01   1.0000E+00
    0.050000   6.0000E+02   5.0090E+00   6.9550E+00   5.8970E-01   1.0000E+00
    0.050000   6.2500E+02   5.1030E+00   7.1330E+00   5.6330E-01   1.0000E+00
    0.050000   6.5000E+02   5.0700E+00   7.2200E+00   5.5020E-01   1.0000E+00
    0.050000   6.7500E+02   5.0390E+00   7.2590E+00   5.3240E-01   1.0000E+00
    0.050000   7.0000E+02   5.1310E+00   7.3960E+00   5.2320E-01   1.0000E+00
    0.050000   7.2500E+02   5.0730E+00   7.4170E+00   5.1380E-01   1.0000E+00
    0.050000   7.5000E+02   5.0320E+00   7.4350E+00   5.0420E-01   1.0000E+00
    0.050000   7.7500E+02   4.9630E+00   7.4220E+00   4.9290E-01   1.0000E+00
    0.050000   8.0000E+02   4.9000E+00   7.4270E+00   4.8370E-01   1.0000E+00
    0.050000   8.2500E+02   4.8310E+00   7.4080E+00   4.7450E-01   1.0000E+00
    0.050000   8.5000E+02   4.8080E+00   7.3760E+00   4.5940E-01   1.0000E+00
    0.050000   8.7500E+02   4.8210E+00   7.3960E+00   4.5080E-01   1.0000E+00
    0.050000   9.0000E+02   4.8570E+00   7.4440E+00   4.4220E-01   1.0000E+00
    0.050000   9.2500E+02   4.8810E+00   7.4430E+00   4.3210E-01   1.0000E+00
    0.050000   9.5000E+02   4.9690E+00   7.4920E+00   4.2300E-01   1.0000E+00
    0.050000   9.7500E+02   5.0030E+00   7.5050E+00   4.1560E-01   1.0000E+00
    0.050000   1.0000E+03   5.0420E+00   7.5310E+00   4.0930E-01   1.0000E+00
     0.10000   3.0000E+02   1.5233E+00   5.0250E+00   3.9120E+00   1.0000E+00
     0.10000   3.2500E+02   1.1958E+00   4.6680E+00   3.0620E+00   1.0000E+00
     0.10000   3.5000E+02   8.6130E-01   4.0816E+00   1.8350E+00   1.0000E+00
     0.10000   3.7500E+02   8.9000E-01   3.9224E+00   1.3850E+00   1.0000E+00
     0.10000   4.0000E+02   1.3324E+00   4.1840E+00   1.1420E+00   1.0000E+00
     0.10000   4.2500E+02   1.7325E+00   4.5650E+00   9.4580E-01   1.0000E+00
     0.10000   4.5000E+02   2.1225E+00   4.9440E+00   8.4260E-01   1.0000E+00
     0.10000   4.7500E+02   2.6900E+00   5.3580E+00   8.0540E-01   1.0000E+00
     0.10000   5.0000E+02   3.3470E+00   5.9900E+00   7.3620E-01   1.0000E+00
     0.10000   5.2500E+02   3.8590E+00   6.4840E+00   7.2790E-01   1.0000E+00
     0.10000   5.5000E+02   4.2550E+00   6.9680E+00   7.7570E-01   1.0000E+00
     0.10000   5.7500E+02   4.5050E+00   7.3670E+00   8.0720E-01   1.0000E+00
     0.10000   6.0000E+02   4.5290E+00   7.5860E+00   8.2010E-01   1.0000E+00
     0.10000   6.2500E+02   4.5270E+00   7.7370E+00   8.2480E-01   1.0000E+00
     0.10000   6.5000E+02   4.4360E+00   7.8020E+00   8.2350E-01   1.0000E+00
     0.10000   6.7500E+02   4.3880E+00   7.8320E+00   8.1130E-01   1.0000E+00
     0.10000   7.0000E+02   4.3720E+00   7.9100E+00   8.0950E-01   1.0000E+00
     0.10000   7.2500E+02   4.2680E+00   7.8850E+00   8.0250E-01   1.0000E+00
     0.10000   7.5000E+02   4.2020E+00   7.8390E+00   7.9100E-01   1.0000E+00
     0.10000   7.7500E+02   4.1730E+00   7.8050E+00   7.7840E-01   1.0000E+00
     0.10000   8.0000E+02   4.1580E+00   7.8020E+00   7.7650E-01   1.0000E+00
     0.10000   8.2500E+02   4.1540E+00   7.7530E+00   7.6650E-01   1.0000E+00
     0.10000   8.5000E+02   4.1750E+00   7.7450E+00   7.4230E-01   1.0000E+00
     0.10000   8.7500E+02   4.2090E+00   7.7460E+00   7.3740E-01   1.0000E+00
     0.10000   9.0000E+02   4.2170E+00   7.7860E+00   7.3570E-01   1.0000E+00
     0.10000   9.2500E+02   4.2580E+00   7.7830E+00   7.3030E-01   1.0000E+00
     0.10000   9.5000E+02   4.3170E+00   7.8130E+00   7.2510E-01   1.0000E+00
     0.10000   9.7500E+02   4.3470E+00   7.8260E+00   7.2130E-01   1.0000E+00
     0.10000   1.0000E+03   4.3760E+00   7.8440E+00   7.1890E-01   1.0000E+00
     0.20000   3.0000E+02   1.4441E+00   4.9560E+00   3.5580E+00   1.0000E+00
     0.20000   3.2500E+02   1.1847E+00   4.6090E+00   2.7280E+00   1.0000E+00
     0.20000   3.5000E+02   1.0926E+00   4.2380E+00   1.8160E+00   1.0000E+00
     0.20000   3.7500E+02   1.1868E+00   4.1560E+00   1.4130E+00   1.0000E+00
     0.20000   4.0000E+02   1.5908E+00   4.5340E+00   1.1620E+00   1.0000E+00
     0.20000   4.2500E+02   1.8155E+00   5.0050E+00   9.7170E-01   1.0000E+00
     0.20000   4.5000E+02   2.1182E+00   5.4480E+00   9.0110E-01   1.0000E+00
     0.20000   4.7500E+02   2.6200E+00   5.9310E+00   9.0530E-01   1.0000E+00
     0.20000   5.0000E+02   3.0750E+00   6.5630E+00   9.1470E-01   1.0000E+00
     0.20000   5.2500E+02   3.4100E+00   7.0230E+00   1.0030E+00   1.0000E+00
     0.20000   5.5000E+02   3.6260E+00   7.4200E+00   1.2200E+00   1.0000E+00
